install_id,account_id,product_id,install_date,warranty_end,status
1,1,12,2020-12-31,2022-12-31,active
2,1,11,2022-07-23,2024-07-22,active
3,2,7,2024-05-29,2026-05-29,active
4,5,6,2023-02-07,2025-02-06,active
5,6,11,2021-02-10,2023-02-10,active
6,6,11,2024-02-10,2026-02-09,retired
7,7,12,2024-08-14,2026-08-14,active
8,8,1,2023-01-02,2025-01-01,active
9,8,7,2021-02-08,2023-02-08,active
10,9,11,2023-09-07,2025-09-06,inactive
11,9,11,2021-10-20,2023-10-20,active
12,10,6,2022-10-24,2024-10-23,active
13,10,2,2020-12-06,2022-12-06,retired
14,12,6,2021-11-30,2023-11-30,inactive
15,13,2,2022-09-21,2024-09-20,retired
16,14,11,2022-06-17,2024-06-16,active
17,15,7,2020-10-27,2022-10-27,inactive
18,16,12,2023-04-15,2025-04-14,inactive
19,16,1,2021-04-19,2023-04-19,active
20,17,6,2022-07-26,2024-07-25,active
21,18,1,2024-09-21,2026-09-21,inactive
22,19,6,2023-11-07,2025-11-06,active
23,21,1,2023-10-27,2025-10-26,retired
24,22,11,2022-10-04,2024-10-03,retired
25,22,1,2024-12-13,2026-12-13,active
26,23,11,2021-06-23,2023-06-23,active
27,23,7,2020-10-07,2022-10-07,active
28,25,7,2024-09-30,2026-09-30,inactive
29,26,1,2024-01-25,2026-01-24,active
30,26,2,2021-05-27,2023-05-27,active
31,27,1,2021-02-25,2023-02-25,active
32,27,12,2024-12-26,2026-12-26,active
33,30,7,2020-11-06,2022-11-06,active
34,30,11,2023-11-19,2025-11-18,active
35,31,11,2021-08-20,2023-08-20,retired
36,31,1,2021-10-05,2023-10-05,active
37,32,12,2023-03-10,2025-03-09,active
38,32,1,2024-08-24,2026-08-24,active
39,34,11,2022-09-28,2024-09-27,inactive
40,35,6,2024-06-18,2026-06-18,inactive
41,41,7,2020-11-06,2022-11-06,active
42,41,7,2024-11-26,2026-11-26,active
43,45,6,2022-01-13,2024-01-13,active
44,45,6,2024-09-28,2026-09-28,active
45,46,12,2022-07-20,2024-07-19,inactive
46,47,2,2022-05-10,2024-05-09,active
47,48,1,2024-01-21,2026-01-20,active
48,49,6,2022-08-12,2024-08-11,active
49,49,2,2022-04-20,2024-04-19,retired
50,52,7,2022-02-12,2024-02-12,active
51,53,1,2024-08-15,2026-08-15,active
52,54,2,2024-09-25,2026-09-25,active
53,54,2,2021-09-14,2023-09-14,active
54,55,12,2023-05-05,2025-05-04,active
55,56,2,2020-12-26,2022-12-26,active
56,56,7,2021-02-10,2023-02-10,active
57,58,6,2024-06-30,2026-06-30,active
58,60,7,2022-07-24,2024-07-23,active
